teamstatspk,Team,win_percentage,Min,points,field_goals_made,field_goals_attempted,field_goal_percentage,three_pointers_made,three_pointers_attempted,three_point_percentage,free_throws_made,free_throw_attempted,free_throw_percentage,season,three_point_shooting_volume,three_point_total_contribution
30,Milwaukee Bucks,0.707,3966,9589,3504,7411,47.3,1217,3306,36.8,1364,1837,74.3,2022-23,0.44609364458237755,0.3807487746376056
31,Boston Celtics,0.695,3996,9671,3460,7278,47.5,1315,3492,37.7,1436,1769,81.2,2022-23,0.47980214344600164,0.4079205873229242
32,Philadelphia 76ers,0.659,3976,9448,3347,6870,48.7,1035,2675,38.7,1719,2058,83.5,2022-23,0.3893740902474527,0.32864098221845894
33,Denver Nuggets,0.646,3951,9495,3574,7088,50.4,969,2559,37.9,1378,1834,75.1,2022-23,0.36103273137697517,0.3061611374407583
34,Cleveland Cavaliers,0.622,3976,9205,3408,6984,48.8,950,2589,36.7,1439,1844,78.0,2022-23,0.3707044673539519,0.309614340032591
35,Memphis Grizzlies,0.622,3956,9587,3585,7551,47.5,985,2807,35.1,1432,1954,73.3,2022-23,0.37173884253741224,0.30822989464900385
36,Sacramento Kings,0.585,3966,9898,3573,7232,49.4,1128,3060,36.9,1624,2055,79.0,2022-23,0.4231194690265487,0.3418872499494847
37,New York Knicks,0.573,3991,9514,3444,7328,47.0,1037,2930,35.4,1589,2087,76.1,2022-23,0.3998362445414847,0.32699180155560226
38,Brooklyn Nets,0.549,3946,9295,3399,6978,48.7,1048,2771,37.8,1449,1811,80.0,2022-23,0.39710518773287473,0.3382463690155998
39,Phoenix Suns,0.549,3956,9319,3453,7388,46.7,1001,2674,37.4,1412,1781,79.3,2022-23,0.3619382782891175,0.32224487605966307
40,Golden State Warriors,0.537,3966,9753,3538,7393,47.9,1363,3540,38.5,1314,1655,79.4,2022-23,0.47883132693088054,0.4192556136573362
